SKB                CPU PROCESS          NETNS      MARK/x        IFACE       PROTO  MTU   LEN   TUPLE FUNC
0xffff8bf315f00500 11  <empty>:13375    4026531840 0        ~b7b36a8db466:18 0x0800 1500  66    10.104.103.115:80->10.0.1.238:59808(tcp) __dev_forward_skb
0xffff8bf315f00500 11  <empty>:13375    4026531840 0        ~b7b36a8db466:18 0x0800 1500  66    10.104.103.115:80->10.0.1.238:59808(tcp) __dev_forward_skb2
0xffff8bf315f00500 11  <empty>:13375    4026531840 0        ~b7b36a8db466:18 0x0800 1500  66    10.104.103.115:80->10.0.1.238:59808(tcp) skb_scrub_packet
0xffff8bf315f00500 11  <empty>:13375    4026531840 0        ~b7b36a8db466:18 0x0800 1500  66    10.104.103.115:80->10.0.1.238:59808(tcp) eth_type_trans
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) __netif_rx
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) netif_rx_internal
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) enqueue_to_backlog
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) __netif_receive_skb
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) __netif_receive_skb_one_core
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) ip_rcv
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) ip_rcv_core
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_early_demux
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) ip_route_input_noref
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) ip_route_input_slow
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) fib_validate_source
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 1500  52    10.104.103.115:80->10.0.1.238:59808(tcp) __fib_validate_source
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 52    10.104.103.115:80->10.0.1.238:59808(tcp) ip_local_deliver
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 52    10.104.103.115:80->10.0.1.238:59808(tcp) ip_local_deliver_finish
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) ip_protocol_deliver_rcu
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) raw_local_deliver
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) raw_v4_input
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_rcv
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_filter
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) sk_filter_trim_cap
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) security_sock_rcv_skb
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) apparmor_socket_sock_rcv_skb
0xffff8bf315f00500 11  <empty>:13375    4026533033 0            eth0:17      0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_fill_cb
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_add_backlog
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 65536 32    10.104.103.115:80->10.0.1.238:59808(tcp) skb_condense
0xffff8bf2815076e8 11  <empty>:13375    0          0               0         0x0800 0     78    10.0.1.238:59808->10.0.1.61:80(tcp)      napi_consume_skb
0xffff8bf2815076e8 11  <empty>:13375    0          0               0         0x0800 0     78    10.0.1.238:59808->10.0.1.61:80(tcp)      skb_release_head_state
0xffff8bf2815076e8 11  <empty>:13375    0          0               0         0x0800 0     78    10.0.1.238:59808->10.0.1.61:80(tcp)      skb_release_data
0xffff8bf2815076e8 11  <empty>:13375    0          0               0         0x0800 0     78    10.0.1.238:59808->10.0.1.61:80(tcp)      skb_free_head
0xffff8bf2815076e8 11  <empty>:13375    0          0               0         0x0800 0     78    10.0.1.238:59808->10.0.1.61:80(tcp)      kfree_skbmem
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_do_rcv
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_rcv_established
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_validate_incoming
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_urg
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) tcp_data_queue
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) __kfree_skb
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) skb_release_head_state
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) skb_release_data
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) skb_free_head
0xffff8bf315f00500 11  <empty>:13375    0          0               0         0x0800 0     32    10.104.103.115:80->10.0.1.238:59808(tcp) kfree_skbmem
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0               0         0x0000 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      ip_local_out
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0               0         0x0000 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      __ip_local_out
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0               0         0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      ip_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      nf_hook_slow
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      apparmor_ip_postroute
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      ip_finish_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      __ip_finish_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      ip_finish_output2
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      neigh_resolve_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      eth_header
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  231   10.0.1.61:80->10.0.1.238:59808(tcp)      skb_push
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  245   10.0.1.61:80->10.0.1.238:59808(tcp)      __dev_queue_xmit
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1450  245   10.0.1.61:80->10.0.1.238:59808(tcp)      qdisc_pkt_len_init
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      netdev_core_pick_tx
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      validate_xmit_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      netif_skb_features
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      passthru_features_check
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      skb_network_protocol
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      skb_csum_hwoffload_help
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      validate_xmit_xfrm
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      dev_hard_start_xmit
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      skb_clone_tx_timestamp
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      __dev_forward_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      __dev_forward_skb2
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      skb_scrub_packet
0xffff8bf25ed13ae8 10  agnhost:5683     4026532949 0            eth0:15      0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      eth_type_trans
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      __netif_rx
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      netif_rx_internal
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      enqueue_to_backlog
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      __netif_receive_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      __netif_receive_skb_one_core
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      tc_run
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.0.1.61:80->10.0.1.238:59808(tcp)      tcf_classify
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  245   10.0.1.61:80->10.0.1.238:59808(tcp)      skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) inet_proto_csum_replace4
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_rcv
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_rcv_core
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_wfree
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) nf_hook_slow
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) nf_checksum
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) nf_ip_checksum
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __inet_lookup_listener
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) inet_lhash2_lookup
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) inet_lhash2_lookup
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_early_demux
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_route_input_noref
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_route_input_slow
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __mkroute_input
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) fib_validate_source
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __fib_validate_source
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_forward
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) pskb_expand_head
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) skb_release_data
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) skb_headers_offset_update
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) nf_hook_slow
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_forward_finish
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~de360ae4c2b0:16 0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) nf_hook_slow
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) apparmor_ip_postroute
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_finish_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __ip_finish_output
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_finish_output2
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) __dev_queue_xmit
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) qdisc_pkt_len_init
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_ensure_writable
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_do_redirect
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0         cilium_host:9   0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) __bpf_redirect
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) __dev_queue_xmit
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) qdisc_pkt_len_init
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) tc_run
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) netdev_core_pick_tx
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) validate_xmit_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) netif_skb_features
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) passthru_features_check
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_network_protocol
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_csum_hwoffload_help
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) validate_xmit_xfrm
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) dev_hard_start_xmit
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_clone_tx_timestamp
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) __dev_forward_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) __dev_forward_skb2
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) skb_scrub_packet
0xffff8bf25ed13ae8 10  agnhost:5683     4026531840 0        ~b7b36a8db466:18 0x0800 1500  245   10.104.103.115:80->10.0.1.238:59808(tcp) eth_type_trans
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __netif_rx
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) netif_rx_internal
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) enqueue_to_backlog
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __netif_receive_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __netif_receive_skb_one_core
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_rcv
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_rcv_core
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_early_demux
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_route_input_noref
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_route_input_slow
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) fib_validate_source
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1500  231   10.104.103.115:80->10.0.1.238:59808(tcp) __fib_validate_source
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_local_deliver
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 231   10.104.103.115:80->10.0.1.238:59808(tcp) ip_local_deliver_finish
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) ip_protocol_deliver_rcu
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) raw_local_deliver
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) raw_v4_input
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_rcv
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_filter
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) sk_filter_trim_cap
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) security_sock_rcv_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) apparmor_socket_sock_rcv_skb
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0            eth0:17      0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_fill_cb
0xffff8bf25ed13ae8 10  agnhost:5683     0          0               0         0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_v4_do_rcv
0xffff8bf25ed13ae8 10  agnhost:5683     0          0               0         0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_rcv_established
0xffff8bf25ed13ae8 10  agnhost:5683     0          0               0         0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_urg
0xffff8bf25ed13ae8 10  agnhost:5683     0          0               0         0x0800 65536 211   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_data_queue
0xffff8bf25ed13ae8 10  agnhost:5683     0          0               0         0x0800 0     179   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_try_rmem_schedule
0xffff8bf25ed13ae8 10  agnhost:5683     0          0               0         0x0800 0     179   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_queue_rcv
0xffff8bf25ed13ae8 10  agnhost:5683     4026533033 0               0         0x0800 0     179   10.104.103.115:80->10.0.1.238:59808(tcp) tcp_event_data_recv
0xffff8bf2cd2c5b00 10  agnhost:5683     4026533033 0               0         0x0000 1450  52    10.0.1.238:59808->10.104.103.115:80(tcp) ip_local_out
0xffff8bf2cd2c5b00 10  agnhost:5683     4026533033 0               0         0x0000 1450  52    10.0.1.238:59808->10.104.103.115:80(tcp) __ip_local_out
0xffff8bf2cd2c5b00 10  agnhost:5683     4026533033 0               0         0x0800 1450  52    10.0.1.238:59808->10.104.103.115:80(tcp) ip_output
0xffff8bf2cd2c5b00 10  agnhost:5683     4026533033 0            eth0:17      0x0800 1450  52    10.0.1.238:59808->10.104.103.115:80(tcp) nf_hook_slow
